
  0%|                                                                                                                                                                                                                                                          | 0/9000 [00:00<?, ?it/s]
0.0004
time for getitem:  0.000766754150390625
time for getitem:  0.0003867149353027344
time for getitem:  0.0005159378051757812
time for getitem:  0.0006091594696044922
time for getitem:  0.0006787776947021484
time for getitem:  0.0007622241973876953
time for getitem:  0.0006530284881591797
time for getitem:  0.0006375312805175781
time for getitem:  0.0007023811340332031
time for getitem:  0.0005476474761962891
time for getitem:  0.0007987022399902344
time for getitem:  0.0008909702301025391
time for getitem:  0.00046563148498535156
time for getitem:  0.0005810260772705078
time for getitem:  0.0007505416870117188
time for getitem:  0.001028299331665039
time for getitem:  0.0004923343658447266
time for getitem:  0.0007460117340087891
time for getitem:  0.00048422813415527344
time for getitem:  0.0007035732269287109
time for getitem:  0.0007700920104980469
time for getitem:  0.0006995201110839844
time for getitem:  0.0007350444793701172
time for getitem:  0.0003921985626220703
time for getitem:  0.001605987548828125
time for getitem:  0.0024459362030029297
time for getitem:  0.0008258819580078125
time for getitem:  0.0008099079132080078
time for getitem:  0.0007765293121337891
time for getitem:  0.0006468296051025391
time for getitem:  0.0007393360137939453
time for getitem:  0.0009963512420654297
time for getitem:  0.0005440711975097656
time for getitem:  0.001001596450805664
time for getitem:  0.0006620883941650391
time for getitem:  0.000576019287109375
time for getitem:  0.0005705356597900391
time for getitem:  0.0007503032684326172
time for getitem:  0.0008535385131835938
time for getitem:  0.0007240772247314453
time for getitem:  0.0005872249603271484
time for getitem:  0.0005438327789306641
time for getitem:  0.0007679462432861328
time for getitem:  0.0007624626159667969
time for getitem:  0.0007529258728027344
time for getitem:  0.0008296966552734375
time for getitem:  0.00034046173095703125
time for getitem:  0.0006072521209716797
time for getitem:  0.0003955364227294922
time for getitem:  0.000812530517578125
time for getitem:  0.0009987354278564453
time for getitem:  0.0006034374237060547
time for getitem:  0.0005426406860351562
time for getitem:  0.0005357265472412109
time for getitem:  0.0008518695831298828
time for getitem:  0.0007047653198242188
time for getitem:  0.0009341239929199219
time for getitem:  0.0006773471832275391
time for getitem:  0.0007348060607910156
time for getitem:  0.0012829303741455078
time for getitem:  0.0006680488586425781
time for getitem:  0.0010139942169189453
time for getitem:  0.0007631778717041016
time for getitem:  0.0008740425109863281
time for getitem:  0.0003981590270996094
time for getitem:  0.0009429454803466797
time for getitem:  0.0006985664367675781
time for getitem:  0.0009093284606933594
time for getitem:  0.0007932186126708984
time for getitem:  0.0006775856018066406
time for getitem:  0.0004935264587402344
time for getitem:  0.0005142688751220703
time for getitem:  0.0006649494171142578
time for getitem:  0.0008068084716796875
time for getitem:  0.0006268024444580078
time for getitem:  0.0007476806640625
time for getitem:  0.0006525516510009766
time for getitem:  0.0007989406585693359
time for getitem:  0.0007283687591552734
time for getitem:  0.0005288124084472656
time for getitem:  0.0007364749908447266
time for getitem:  0.0004730224609375
time for getitem:  0.0006849765777587891
time for getitem:  0.00042700767517089844
time for getitem:  0.0008485317230224609
time for getitem:  0.000728607177734375
time for getitem:  0.0007832050323486328
time for getitem:  0.0006937980651855469
time for getitem:  0.0005435943603515625
time for getitem:  0.0005588531494140625
time for getitem:  0.0007226467132568359
time for getitem:  0.0007939338684082031
time for getitem:  0.0013155937194824219
time for getitem:  0.0006482601165771484
time for getitem:  0.0007627010345458984
time for getitem:  0.0006706714630126953
time for getitem:  0.0008263587951660156
time for getitem:  0.0006313323974609375
time for getitem:  0.0003046989440917969
time for getitem:  0.000804901123046875
time for getitem:  0.0004210472106933594
time for getitem:  0.0004761219024658203
time for getitem:  0.0007367134094238281
time for getitem:  0.0004324913024902344
time for getitem:  0.0005698204040527344
time for getitem:  0.0007557868957519531
time for getitem:  0.0011088848114013672
time for getitem:  0.0005791187286376953
time for getitem:  0.0007758140563964844
time for getitem:  0.0005984306335449219
time for getitem:  0.0006310939788818359
time for getitem:  0.0007295608520507812
time for getitem:  0.0006656646728515625
